"filename", "language", "YAML", "Dart", "C++", "Markdown", "CMake", "JSON", "Swift", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"d:\Projects\FlutterProjects\neuroparenting\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"d:\Projects\FlutterProjects\neuroparenting\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\Projects\FlutterProjects\neuroparenting\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 5, 12, 72
"d:\Projects\FlutterProjects\neuroparenting\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 29
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 1, 34
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\Projects\FlutterProjects\neuroparenting\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 2, 8, 39
"d:\Projects\FlutterProjects\neuroparenting\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\Projects\FlutterProjects\neuroparenting\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Projects\FlutterProjects\neuroparenting\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 6, 30
"d:\Projects\FlutterProjects\neuroparenting\assets\icons\english_lang.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 61
"d:\Projects\FlutterProjects\neuroparenting\assets\icons\indonesian_lang.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding2_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding2_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\start1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\start1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\start1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\lang\en.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Projects\FlutterProjects\neuroparenting\assets\lang\id.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
