"filename", "language", "YAML", "C++", "CMake", "Swift", "Dart", "JSON", "XML", "comment", "blank", "total"
"d:\Projects\FlutterProjects\neuroparenting\assets\images\forgot1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\forgot1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\login1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\login1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\parent1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\parent1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\register1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 40, 0, 0, 40
"d:\Projects\FlutterProjects\neuroparenting\assets\images\register1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 40, 0, 0, 40
"d:\Projects\FlutterProjects\neuroparenting\assets\lang\en.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\Projects\FlutterProjects\neuroparenting\assets\lang\id.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\Projects\FlutterProjects\neuroparenting\lib\main.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\homepage.dart", "Dart", 0, 0, 0, 0, 66, 0, 0, 1, 5, 72
"d:\Projects\FlutterProjects\neuroparenting\lib\src\localization\translate_lang.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\forgot_password.dart", "Dart", 0, 0, 0, 0, 157, 0, 0, 0, 5, 162
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\login.dart", "Dart", 0, 0, 0, 0, 177, 0, 0, 2, 4, 183
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\parent_selection.dart", "Dart", 0, 0, 0, 0, 165, 0, 0, 0, 3, 168
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\register.dart", "Dart", 0, 0, 0, 0, 303, 0, 0, 5, 5, 313
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\start.dart", "Dart", 0, 0, 0, 0, 45, 0, 0, 0, 0, 45
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\verify_email.dart", "Dart", 0, 0, 0, 0, 174, 0, 0, 3, 5, 182
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\onboarding\onboarding_base.dart", "Dart", 0, 0, 0, 0, -4, 0, 0, 0, 0, -4
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\onboarding\onboarding_screen.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_comp\language_changer.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"d:\Projects\FlutterProjects\neuroparenting\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"d:\Projects\FlutterProjects\neuroparenting\pubspec.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 3, 3, 1, 2, 1095, 6, 86, 11, 26, 1233
