"filename", "language", "C++", "CMake", "JSON", "HTML", "YAML", "Swift", "Dart", "XML", "Groovy", "comment", "blank", "total"
"d:\Projects\FlutterProjects\neuroparenting\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\Projects\FlutterProjects\neuroparenting\android\app\google-services.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, 1, -9
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable-night-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable-night\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, -7, -1, -3
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, -7, -1, -3
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 7, 1, 23
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 7, 1, 23
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\Projects\FlutterProjects\neuroparenting\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"d:\Projects\FlutterProjects\neuroparenting\assets\icons\logo_black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 39
"d:\Projects\FlutterProjects\neuroparenting\assets\images\changepw1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\changepw1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\under_construction_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\under_construction_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 33
"d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"d:\Projects\FlutterProjects\neuroparenting\ios\firebase_app_id_file.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Projects\FlutterProjects\neuroparenting\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 12, 6, 86
"d:\Projects\FlutterProjects\neuroparenting\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\Projects\FlutterProjects\neuroparenting\lib\src\homebody.dart", "Dart", 0, 0, 0, 0, 0, 0, 165, 0, 0, 3, 9, 177
"d:\Projects\FlutterProjects\neuroparenting\lib\src\homepage.dart", "Dart", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 7, 100
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\article\article.dart", "Dart", 0, 0, 0, 0, 0, 0, 484, 0, 0, 2, 31, 517
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\change_password.dart", "Dart", 0, 0, 0, 0, 0, 0, 231, 0, 0, 6, 5, 242
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\forgot_password.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\login.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\register.dart", "Dart", 0, 0, 0, 0, 0, 0, 37, 0, 0, 6, 1, 44
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\start.dart", "Dart", 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, -2
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth_func\register_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
