"filename", "language", "YAML", "Dart", "XML", "Groovy", "Markdown", "comment", "blank", "total"
"d:\Projects\FlutterProjects\neuroparenting\NeuroParentingUI\NeuroParentingLogoDark.svg", "XML", 0, 0, 38, 0, 0, 0, 1, 39
"d:\Projects\FlutterProjects\neuroparenting\README.md", "Markdown", 0, 0, 0, 0, -14, 0, -7, -21
"d:\Projects\FlutterProjects\neuroparenting\android\app\build.gradle", "Groovy", 0, 0, 0, 2, 0, 0, 0, 2
"d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, -3, 0, -2, -5
"d:\Projects\FlutterProjects\neuroparenting\lib\main.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 6
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\auth\forgot_password_api.dart", "Dart", 0, 14, 0, 0, 0, 1, 3, 18
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\auth\login_api.dart", "Dart", 0, 42, 0, 0, 0, 13, 6, 61
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\auth\logout.dart", "Dart", 0, 7, 0, 0, 0, 0, 3, 10
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\auth\register_api.dart", "Dart", 0, 51, 0, 0, 0, 11, 13, 75
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\forum\forum_api.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\homepage\homepage_api.dart", "Dart", 0, 14, 0, 0, 0, 1, 4, 19
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\settings\change_email_api.dart", "Dart", 0, 17, 0, 0, 0, 0, 4, 21
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\settings\change_name_api.dart", "Dart", 0, 27, 0, 0, 0, 2, 6, 35
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\settings\change_password_api.dart", "Dart", 0, 25, 0, 0, 0, 1, 5, 31
"d:\Projects\FlutterProjects\neuroparenting\lib\src\homebody.dart", "Dart", 0, -1, 0, 0, 0, 0, 0, -1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\homepage.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 22
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\article\article.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\change_password.dart", "Dart", 0, -231, 0, 0, 0, -6, -5, -242
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\login.dart", "Dart", 0, 39, 0, 0, 0, 5, 1, 45
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\parent_selection.dart", "Dart", 0, 78, 0, 0, 0, 1, 8, 87
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\register.dart", "Dart", 0, 99, 0, 0, 0, 16, 5, 120
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth_func\register_api.dart", "Dart", 0, 0, 0, 0, 0, 0, -1, -1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\consult\consult.dart", "Dart", 0, 0, 0, 0, 0, 1, -1, 0
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\course\course.dart", "Dart", 0, 0, 0, 0, 0, 1, -1, 0
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\forum\forum.dart", "Dart", 0, -9, 0, 0, 0, 0, 0, -9
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\games\games.dart", "Dart", 0, 0, 0, 0, 0, 1, -1, 0
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\change_email.dart", "Dart", 0, 166, 0, 0, 0, 0, 5, 171
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\change_name.dart", "Dart", 0, 165, 0, 0, 0, 0, 5, 170
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\change_password.dart", "Dart", 0, 237, 0, 0, 0, 6, 5, 248
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\settings.dart", "Dart", 0, 180, 0, 0, 0, 5, 15, 200
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\under_construction\under_construction.dart", "Dart", 0, -2, 0, 0, 0, 1, 1, 0
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\form_validator.dart", "Dart", 0, 36, 0, 0, 0, 0, 4, 40
"d:\Projects\FlutterProjects\neuroparenting\pubspec.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 1, 982, 38, 2, -17, 61, 77, 1144
