"filename", "language", "YAML", "Dart", "XML", "Properties", "comment", "blank", "total"
"d:\Projects\FlutterProjects\neuroparenting\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\chatbot1_dark.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\chatbot1_light.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\donate1_dark.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\donate1_light.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\main.dart", "Dart", 0, 2, 0, 0, 0, 0, 2
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\auth\forgot_password_api.dart", "Dart", 0, 22, 0, 0, 0, 1, 23
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\forum\forum_api.dart", "Dart", 0, 258, 0, 0, 15, 32, 305
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\settings\change_name_api.dart", "Dart", 0, 18, 0, 0, 0, 4, 22
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\settings\change_password_api.dart", "Dart", 0, 4, 0, 0, 1, 2, 7
"d:\Projects\FlutterProjects\neuroparenting\lib\src\homebody.dart", "Dart", 0, 6, 0, 0, 0, 0, 6
"d:\Projects\FlutterProjects\neuroparenting\lib\src\homepage.dart", "Dart", 0, 29, 0, 0, 2, 3, 34
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\forgot_password.dart", "Dart", 0, 35, 0, 0, 5, 1, 41
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\login.dart", "Dart", 0, 3, 0, 0, 0, 0, 3
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\chatbot\chat_input_box.dart", "Dart", 0, 69, 0, 0, 0, 6, 75
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\chatbot\chatbot.dart", "Dart", 0, 215, 0, 0, 9, 15, 239
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\chatbot\item_image_view.dart", "Dart", 0, 21, 0, 0, 0, 4, 25
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\donate\donate.dart", "Dart", 0, 195, 0, 0, 27, 8, 230
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\forum\discussion_page.dart", "Dart", 0, 324, 0, 0, 4, 15, 343
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\forum\forum.dart", "Dart", 0, 147, 0, 0, 1, 10, 158
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\change_email.dart", "Dart", 0, 63, 0, 0, 0, 0, 63
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\change_name.dart", "Dart", 0, 38, 0, 0, 0, 2, 40
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\change_password.dart", "Dart", 0, 106, 0, 0, 0, 1, 107
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\settings.dart", "Dart", 0, 27, 0, 0, 0, 5, 32
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\form_validator.dart", "Dart", 0, 14, 0, 0, 0, 2, 16
"d:\Projects\FlutterProjects\neuroparenting\lib\src\theme\theme.dart", "Dart", 0, 10, 0, 0, 0, 0, 10
"d:\Projects\FlutterProjects\neuroparenting\pubspec.yaml", "YAML", 1, 0, 0, 0, 1, 2, 4
"Total", "-", 1, 1606, 4, 0, 65, 114, 1790
