Date : 2024-01-18 07:23:56
Directory : d:\Projects\FlutterProjects\neuroparenting
Total : 133 files,  8220 codes, 480 comments, 710 blanks, all 9410 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         49 |      6,007 |        194 |        401 |      6,602 |
| XML        |         41 |        765 |         48 |         17 |        830 |
| C++        |         16 |        570 |        121 |        182 |        873 |
| JSON       |         10 |        369 |          0 |          3 |        372 |
| HTML       |          2 |        182 |         22 |         21 |        225 |
| Groovy     |          3 |        115 |          7 |         27 |        149 |
| YAML       |          2 |         83 |         81 |         25 |        189 |
| Swift      |          6 |         72 |          7 |         20 |         99 |
| CMake      |          2 |         48 |          0 |         12 |         60 |
| Properties |          2 |          9 |          0 |          2 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        133 |      8,220 |        480 |        710 |      9,410 |
| . (Files)                                                                                                     |          2 |         83 |         81 |         25 |        189 |
| NeuroParentingUI                                                                                              |          1 |         38 |          0 |          1 |         39 |
| android                                                                                                       |         17 |        269 |         53 |         41 |        363 |
| android (Files)                                                                                               |          3 |         59 |          2 |         15 |         76 |
| android\app                                                                                                   |         13 |        205 |         51 |         25 |        281 |
| android\app (Files)                                                                                           |          2 |         90 |          5 |         13 |        108 |
| android\app\src                                                                                               |         11 |        115 |         46 |         12 |        173 |
| android\app\src\debug                                                                                         |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                          |          9 |        109 |         38 |         10 |        157 |
| android\app\src\main (Files)                                                                                  |          1 |         17 |          6 |          2 |         25 |
| android\app\src\main\res                                                                                      |          8 |         92 |         32 |          8 |        132 |
| android\app\src\main\res\drawable                                                                             |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-night                                                                       |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-night-v21                                                                   |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                                                         |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                                               |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                         |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                                                     |          1 |         15 |          7 |          1 |         23 |
| android\app\src\main\res\values-v31                                                                           |          1 |         15 |          7 |          1 |         23 |
| android\app\src\profile                                                                                       |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                        |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                        |         28 |        223 |          0 |          1 |        224 |
| assets\icons                                                                                                  |          3 |        100 |          0 |          1 |        101 |
| assets\images                                                                                                 |         23 |        101 |          0 |          0 |        101 |
| assets\lang                                                                                                   |          2 |         22 |          0 |          0 |         22 |
| ios                                                                                                           |          9 |        295 |          4 |         12 |        311 |
| ios (Files)                                                                                                   |          1 |          7 |          0 |          0 |          7 |
| ios\Runner                                                                                                    |          7 |        281 |          2 |          8 |        291 |
| ios\Runner (Files)                                                                                            |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                               |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                    |          3 |        200 |          0 |          3 |        203 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                 |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                          |          1 |         22 |          0 |          1 |         23 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                               |          1 |         56 |          0 |          1 |         57 |
| ios\Runner\Base.lproj                                                                                         |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                                           |         48 |      5,993 |        184 |        394 |      6,571 |
| lib (Files)                                                                                                   |          2 |        134 |         13 |         16 |        163 |
| lib\src                                                                                                       |         46 |      5,859 |        171 |        378 |      6,408 |
| lib\src (Files)                                                                                               |          2 |        380 |          6 |         25 |        411 |
| lib\src\db                                                                                                    |          9 |        499 |         46 |         83 |        628 |
| lib\src\db\auth                                                                                               |          4 |        136 |         25 |         26 |        187 |
| lib\src\db\forum                                                                                              |          1 |        258 |         16 |         32 |        306 |
| lib\src\db\homepage                                                                                           |          1 |         14 |          1 |          4 |         19 |
| lib\src\db\settings                                                                                           |          3 |         91 |          4 |         21 |        116 |
| lib\src\localization                                                                                          |          2 |         40 |          0 |         14 |         54 |
| lib\src\pages                                                                                                 |         24 |      4,696 |        118 |        217 |      5,031 |
| lib\src\pages\article                                                                                         |          1 |        484 |          2 |         32 |        518 |
| lib\src\pages\auth                                                                                            |          6 |      1,417 |         44 |         47 |      1,508 |
| lib\src\pages\campaign                                                                                        |          1 |          0 |          0 |          1 |          1 |
| lib\src\pages\chatbot                                                                                         |          3 |        305 |          9 |         26 |        340 |
| lib\src\pages\consult                                                                                         |          1 |          0 |          1 |          0 |          1 |
| lib\src\pages\course                                                                                          |          1 |          0 |          1 |          0 |          1 |
| lib\src\pages\donate                                                                                          |          1 |        195 |         27 |          8 |        230 |
| lib\src\pages\forum                                                                                           |          2 |        798 |          9 |         36 |        843 |
| lib\src\pages\games                                                                                           |          1 |          0 |          1 |          0 |          1 |
| lib\src\pages\onboarding                                                                                      |          2 |        199 |          8 |         11 |        218 |
| lib\src\pages\settings                                                                                        |          4 |      1,177 |         15 |         50 |      1,242 |
| lib\src\pages\under_construction                                                                              |          1 |        121 |          1 |          6 |        128 |
| lib\src\reusable_comp                                                                                         |          2 |         56 |          0 |          8 |         64 |
| lib\src\reusable_func                                                                                         |          5 |        130 |          1 |         23 |        154 |
| lib\src\theme                                                                                                 |          2 |         58 |          0 |          8 |         66 |
| linux                                                                                                         |          6 |        127 |         27 |         44 |        198 |
| linux (Files)                                                                                                 |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                 |          3 |         41 |          9 |         17 |         67 |
| macos                                                                                                         |          7 |        471 |          5 |         15 |        491 |
| macos (Files)                                                                                                 |          1 |          7 |          0 |          0 |          7 |
| macos\Flutter                                                                                                 |          1 |         26 |          3 |          4 |         33 |
| macos\Runner                                                                                                  |          4 |        431 |          0 |          7 |        438 |
| macos\Runner (Files)                                                                                          |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                             |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                  |          1 |         68 |          0 |          0 |         68 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                               |          1 |         68 |          0 |          0 |         68 |
| macos\Runner\Base.lproj                                                                                       |          1 |        343 |          0 |          1 |        344 |
| public                                                                                                        |          1 |         79 |          6 |          5 |         90 |
| test                                                                                                          |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                           |          2 |        138 |         16 |         16 |        170 |
| windows                                                                                                       |         11 |        490 |         94 |        149 |        733 |
| windows\flutter                                                                                               |          3 |         62 |          9 |         17 |         88 |
| windows\runner                                                                                                |          8 |        428 |         85 |        132 |        645 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Projects\FlutterProjects\neuroparenting\NeuroParentingUI\NeuroParentingLogoDark.svg                        | XML        |         38 |          0 |          1 |         39 |
| d:\Projects\FlutterProjects\neuroparenting\analysis_options.yaml                                              | YAML       |          3 |         22 |          4 |         29 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\build.gradle                                           | Groovy     |         60 |          5 |         13 |         78 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\google-services.json                                   | JSON       |         30 |          0 |          0 |         30 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\debug\AndroidManifest.xml                          | XML        |          3 |          4 |          1 |          8 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\AndroidManifest.xml                           | XML        |         17 |          6 |          2 |         25 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable-night-v21\launch_background.xml  | XML        |          9 |          0 |          1 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable-night\launch_background.xml      | XML        |          9 |          0 |          1 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable-v21\launch_background.xml        | XML        |          9 |          0 |          1 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\drawable\launch_background.xml            | XML        |          9 |          0 |          1 |         10 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values-night-v31\styles.xml               | XML        |         15 |          7 |          1 |         23 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values-night\styles.xml                   | XML        |         13 |          9 |          1 |         23 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values-v31\styles.xml                     | XML        |         15 |          7 |          1 |         23 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\main\res\values\styles.xml                         | XML        |         13 |          9 |          1 |         23 |
| d:\Projects\FlutterProjects\neuroparenting\android\app\src\profile\AndroidManifest.xml                        | XML        |          3 |          4 |          1 |          8 |
| d:\Projects\FlutterProjects\neuroparenting\android\build.gradle                                               | Groovy     |         31 |          2 |          8 |         41 |
| d:\Projects\FlutterProjects\neuroparenting\android\gradle.properties                                          | Properties |          4 |          0 |          1 |          5 |
| d:\Projects\FlutterProjects\neuroparenting\android\gradle\wrapper\gradle-wrapper.properties                   | Properties |          5 |          0 |          1 |          6 |
| d:\Projects\FlutterProjects\neuroparenting\android\settings.gradle                                            | Groovy     |         24 |          0 |          6 |         30 |
| d:\Projects\FlutterProjects\neuroparenting\assets\icons\english_lang.svg                                      | XML        |         61 |          0 |          0 |         61 |
| d:\Projects\FlutterProjects\neuroparenting\assets\icons\indonesian_lang.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\icons\logo_black.svg                                        | XML        |         38 |          0 |          1 |         39 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\changepw1_dark.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\changepw1_light.svg                                  | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\chatbot1_dark.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\chatbot1_light.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\donate1_dark.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\donate1_light.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\forgot1_dark.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\forgot1_light.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\login1_dark.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\login1_light.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding1_dark.svg                                 | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding1_light.svg                                | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding2_dark.svg                                 | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding2_light.svg                                | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\parent1_dark.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\parent1_light.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\register1_dark.svg                                   | XML        |         40 |          0 |          0 |         40 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\register1_light.svg                                  | XML        |         40 |          0 |          0 |         40 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\start1.svg                                           | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\start1_dark.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\start1_light.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\under_construction_dark.svg                          | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\images\under_construction_light.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\Projects\FlutterProjects\neuroparenting\assets\lang\en.json                                                | JSON       |         11 |          0 |          0 |         11 |
| d:\Projects\FlutterProjects\neuroparenting\assets\lang\id.json                                                | JSON       |         11 |          0 |          0 |         11 |
| d:\Projects\FlutterProjects\neuroparenting\ios\RunnerTests\RunnerTests.swift                                  | Swift      |          7 |          2 |          4 |         13 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\AppDelegate.swift                                       | Swift      |         12 |          0 |          2 |         14 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json        | JSON       |        122 |          0 |          1 |        123 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json | JSON       |         22 |          0 |          1 |         23 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json      | JSON       |         56 |          0 |          1 |         57 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Base.lproj\LaunchScreen.storyboard                      | XML        |         43 |          1 |          1 |         45 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Base.lproj\Main.storyboard                              | XML        |         25 |          1 |          1 |         27 |
| d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Runner-Bridging-Header.h                                | C++        |          1 |          0 |          1 |          2 |
